Review,Rating Date,Rating,Sentiment,Site  
The comfortness of our room and the Veranda's breakfast buffet  aside from the view deck where we have the perfect view of the Taal Lake/Volcano itself.,16-Jan-17,81,pos,booking
Checking in took a while  but it was ok.,16-Jan-17,83,neg,booking
It was an excellent stay. Will be back soon.,16-Jan-17,83,pos,booking
Buffet,15-Jan-17,96,neg,booking
Cleanliness and the view from our room!,15-Jan-17,96,pos,booking
Internet connection of our room is actually slow..  :'( failed to do some online stuff. It even keeps turning on and off..  I wish for a faster internet connection,14-Jan-17,71,neg,booking
Scenery,14-Jan-17,71,pos,booking
Drops of water from the aircon. We had to put a catch basin and a towel to avoid any accident.,12-Jan-17,,neg,booking
Cozy bed,12-Jan-17,,pos,booking
- No bidet (minus 1 star ;p) - Room service doesn't provide any tray to eat on. Have to pay extra if you want them to fix a table for you. (what??) - Staff forgot to refill toilet paper. >_< - Buffet is a bit overpriced.,11-Jan-17,,neg,booking
- Very nice view and location - Accommodating Staff - Relaxing lounge - Parking is no problem,11-Jan-17,,pos,booking
Toilet didn't have bidet,9-Jan-17,,neg,booking
Great view of the island volcano,9-Jan-17,,pos,booking
The room provided was quite old already. In the picture it looks very different,7-Jan-17,,neg,booking
good weather... cold,7-Jan-17,,pos,booking
Our room feels old and needed renovation. It feels damp,7-Jan-17,81,neg,booking
The view and atmosphere is very relaxing. Being near the Sky ranch added a spectacular view specially at night which the kids enjoyed.,7-Jan-17,81,pos,booking
The place needs renovation especially the elevator at the Mountain Wing and the shower room.,6-Jan-17,75,neg,booking
The location is just beside the Sky Ranch and just in front of a casino. If you're hungry during the wee hours  then you can always order from McDonald's which is just in front of the hotel.,6-Jan-17,75,pos,booking
Restaurant,5-Jan-17,79,neg,booking
View,5-Jan-17,79,pos,booking
No improvement at all in the game room and gym facilities,2-Jan-17,79,neg,booking
greeting us with an anniversary cake. very thoughtful.,2-Jan-17,79,pos,booking
Super love the view  food  and the staff. They are very accommodating.,2-Jan-17,75,pos,booking
The hallway to the rooms look cold and creepy.Its like you went down to a dungeon or a dugout in the basement . Looks more like  a barracks than a 5 star hotel hallway. All you see is a long stretch of walls and bare floor to match it. No windows or any decors. They could have warmed it up a bit by putting art pieces on the wall or  a consul table every few meters  planters etc.,1-Jan-17,,neg,booking
Its goodlocation,1-Jan-17,,pos,booking
I AM A REGULAR GUEST OF THIS HOTEL THE PROBLEM IS IF IT IS PEAK SEASON THE QUALITY OF SERVICE IS POOR.,31-Dec-16,,neg,booking
Amazing view from our room and staff were very polite and helpful. ATM machines are right at the hotel. It's also just next door to sky ranch  it's actually where the action is. Also   My son had an accident (not a serious one thankfully) and all staff were very attentive. A very special thanks to Glenn for his amazing support. Would come back to this hotel.  Btw  we loved lounging at the bar next to lobby.,31-Dec-16,,pos,booking
Old furnishings,30-Dec-16,,neg,booking
The view of taal volcanoe,30-Dec-16,,pos,booking
Wedding receptions all over  hotel guests and wedding guests mixed together. Receptions should have their own area. A little bit overpriced,29-Dec-16,,neg,booking
Wonderful location and excellent staff.,29-Dec-16,,pos,booking
Check-in took long. Queue management should have been better.,29-Dec-16,81,neg,booking
nice location,29-Dec-16,81,pos,booking
the room is small  considering we got the premier queen room and compared to the room we got from another big hotel in the area (in previous visit). the toilet/bath room has no bidet  and small. in other words  the room is not value for money.,29-Dec-16,67,neg,booking
staff were friendly and the rooms were spacious  renovations were good.,29-Dec-16,67,pos,booking
Old towelsI,29-Dec-16,79,neg,booking
View was fantastic.  Room was big and clean.,29-Dec-16,79,pos,booking
the room had a long distance to walk to.,28-Dec-16,79,neg,booking
Balcony is too near each other.,28-Dec-16,92,neg,booking
I didnt like the process of your buffet breakfast at the time we are there .And the ways of how are the sitting arrangement when ever we arrive at the buffet resto.And one more we have the experience that we are requesting  more sunny sideup eggs and the cook told us that there are no more eggs anymore is that right?And One more choices of food are not so many and the drinks are also limited.I suggest that you must improve the foods and choices of foods.And Imust suggest that you putr a waiting area near your front desk coz. if many people are checking out or checking in at your hotel we cannot find any near sofa that guests are to comfort themselves.,28-Dec-16,,neg,booking
I like the services of the staff and at bthe concierge people .,28-Dec-16,,pos,booking
Toilet has no exhaust and hose. Internet is slow.,27-Dec-16,,neg,booking
The free breakfast  good AC  and quietness of the place.,27-Dec-16,,pos,booking
An indoor heated pool should have been great.,27-Dec-16,,neg,booking
The hotel location is exactly what I need to get relax with my family. The room is excellent as it is at the 4th floor Lake Wing overlooking perfectly the lake.,27-Dec-16,,pos,booking
Well the staff were friendly and accomodating and as always I love the ambiance of Taal Vista.,26-Dec-16,,pos,booking
There was a delay in me getting my room. Also  the noodle in the breakfast was very soggy.,24-Dec-16,81,neg,booking
Location  Weather,24-Dec-16,81,pos,booking
The comfort room don't have bidet.,24-Dec-16,67,neg,booking
The room was comfy.,24-Dec-16,67,pos,booking
I called the operator and housekeeping and there was no answer.,22-Dec-16,79,neg,booking
The lake view..,22-Dec-16,79,pos,booking
The bath tub where you will Take your shower was flooded once you open the water.,16-Dec-16,88,neg,booking
The view. Non alcoholic beverages were free.,16-Dec-16,88,pos,booking
For the amount we are paying  we dont even have access to a fridge where we can keep our water cold. Food wasnt so good either. How can you go wrong with bacon in a buffet :( but they did. Also we called for late check out but apparently we pushed the wrong number (4)  so we asked to be transferred to front desk  but the staff said he will take care of it and no need to be transferred. We wanted to make sure so we called  the front desk after 2 hours to verify  only to find it  it wasnt noted down. What if we didnt call to double check? We would have been rushed out or got charged extra. In the end  they were able to let us stay (thank you) but we expected better coordination with their staff.,16-Dec-16,75,neg,booking
Location is very near the wedding venue of my niece . But the AC was leaking in our room 213- mountain wing ( didn't know that this was the old wing) . The plug for the percolator was not working even After the staff FIXED it.,16-Dec-16,75,pos,booking
Place was well maintained. Staff were helpful.,16-Dec-16,75,pos,booking
Too pricey for an ooold hotel that's been renovated countless times! Other newer hotels in the area are catching up and offering better value for your hard earned money.,16-Dec-16,,neg,booking
Really great location  great staff  good facilities  good buffet spread!,16-Dec-16,,pos,booking
Two hours waiting for the room.  The room assigned didn't conform to what I have requested  2- bedroom suite with less view of the lake and more of mountain  not worth for the money I paid.,15-Dec-16,,neg,booking
Location,15-Dec-16,,pos,booking
I booked a Lake View wing room but there was no view of the lake in sight from our room it was the back of Sky ranch and just untrimmed grasses. It was a let down. I was expecting to see the Taal volcano view :( . The building is pretty old as well.,14-Dec-16,,neg,booking
Great location  good customer service  the spa was lovely as well.,14-Dec-16,,pos,booking
nice breakfast buffet,13-Dec-16,,pos,booking
As a regular Booking.com customer  you call me a genius and entitled to certain perks like a late check out. The property did not cooperate.  They insisted on their own policy!,12-Dec-16,81,neg,booking
As usual  we liked the venue itself and the comfortable rooms. Service is generally Ok except for one lady at the reception who was not accommodating at all.  I requested for a late checkout because we had a baby with us and she was taking her nap.,12-Dec-16,81,pos,booking
The dinner buffet choices,11-Dec-16,83,neg,booking
Personalized welcome note from the manager with a basket of fruits and a slice of cake was a sweet gesture.,11-Dec-16,83,pos,booking
The long walk from the front desk to our room located at the lake wing,10-Dec-16,75,neg,booking
location friendly staff,10-Dec-16,75,pos,booking
bed is quite not comfortable,10-Dec-16,71,neg,booking
Comfortable and cozy room,10-Dec-16,71,pos,booking
2 cockroaches inside the room,9-Dec-16,83,neg,booking
Delicious breakfast.,9-Dec-16,83,pos,booking
Swimming pool is not heated.,5-Dec-16,92,neg,booking
The breakfast wasn't that good ... the coffee was terrible,5-Dec-16,,neg,booking
The bed is comfiortable and the place has excellent location.,5-Dec-16,,pos,booking
The persons talking on the hallway can be heard in the ridgerooms especially when they are noisy. The running of the kids on the hallway can be heard inside the room.,4-Dec-16,,neg,booking
Easy to find location and nice view of Taal,4-Dec-16,,pos,booking
The hallways and corridors leading to the rooms are long and winding  no lighting (at night)  and we needed to go up and down numerous stairs because there are only few elevators which do not serve all floors. Plus the old room interiors do not match the high price.,30-Nov-16,,neg,booking
Everything!,30-Nov-16,,pos,booking
Price using your site was not including tax. The lake wing isn't really the lake view.,30-Nov-16,,neg,booking
good room and bed.,30-Nov-16,,pos,booking
Staff were too slow. had to make several follow up with one thing after the other.,29-Nov-16,81,neg,booking
The staff at the bakeshop was very accomodating,29-Nov-16,81,pos,booking
Far location of amenities from the room,29-Nov-16,71,neg,booking
The view is incredible from the lake wing. The breakfast had amazing variety. The room was big and very comfortable.,29-Nov-16,71,pos,booking
The breakfast made my partner sick every morning  I believe they probably do not cater for tourists. Most of the staff were pretty hopeless. The restaurant served my partner raw chicken at lunch!  Housekeeping were very nice but didn't clean rooms well during our stay. The pool closes too early. The games room is old and not looked after  the dart board had 1 dart. I personally wouldn't call this place 5 star.,28-Nov-16,96,neg,booking
The view from the premier room of Taal Lake.  Breakfast buffet is never a disappointment. Courteous staff. Housekeeping service is very efficient helpful polite  and always happy to serve,28-Nov-16,96,pos,booking
Given the price of the hotel  it is in need of immediate repairs for some of the room facilities like handles  door knobs etc. They're not very top of the line anymore .,27-Nov-16,67,neg,booking
The bathroom  the venue and the buffet breakfast,27-Nov-16,67,pos,booking
The room  it looks old and some parts already needs repair like the screen at the balcony. They also need to check the foods at the bar  some beverages already has rusts.,26-Nov-16,96,neg,booking
There's an extra bed..spacious.. There's a kiddie area.. Staff were soooo accommodating and helpful.,26-Nov-16,96,pos,booking
No elevator in Mountain side :(,23-Nov-16,75,neg,booking
No bidet in our room.,21-Nov-16,,neg,booking
The room is perfect for family (2 bedroom)  the staffs are all nice and the food is great. I love the hotel itself  its so relaxing.,21-Nov-16,,pos,booking
Nothing,19-Nov-16,,neg,booking
Location  view  fresh air  spa,19-Nov-16,,pos,booking
Softer pillows please.,17-Nov-16,,neg,booking
Nice location and view,17-Nov-16,,pos,booking
The rooms in the Mountain wing are old and not worth the money. Also  it isn't connected to the hotel.,16-Nov-16,,neg,booking
I liked the breakfast and the view. I liked our room in the lake view better than the one in Mountain view.,16-Nov-16,,pos,booking
The bathtub has small cockroaches in them  this is located at the mountain view room and the toilet has a smell.Towels and sheets are not white and old grayish in color. The receptionist did not get back at us for our request of getting a drivers room .,16-Nov-16,81,neg,booking
The room is quiet  near the swimming pool  accessible to the main area. The service and food is very good  Errol did a wonderful job to serve us well. Concierge service is great.,16-Nov-16,81,pos,booking
Room rates are high,14-Nov-16,96,neg,booking
Buffet breakfast & location,14-Nov-16,96,pos,booking
None,12-Nov-16,83,neg,booking
All good,12-Nov-16,83,pos,booking
Wifi connection is bad in mountain wing and room could have been perfect if not for the connecting doors.,7-Nov-16,75,neg,booking
Almost perfect.,7-Nov-16,75,pos,booking
I'm a regular but this is the first time Ive experienced that the towels have a smokey smell ,6-Nov-16,83,neg,booking
too crowded and HUGE... geared to mass family events. Site is enormous so room service takes forever to arrive.,3-Nov-16,,neg,booking
food was OK. Staff very polite and well trained. Views are magnificent. place is very clean.,3-Nov-16,,pos,booking
Our room at the basement,2-Nov-16,,neg,booking
The beef tapa,2-Nov-16,,pos,booking
The hotel is a little bit old. Based on our experience  SOME rooms have broken hot/cold showers  dripping A/Cs  stagnant water in some areas whenever it rains.  UGH! the WI-FI has no signal at the MOUNTAIN WING  while they have weak signal at the the LAKE WING. The presidential suite needs to be renovated. I think they need to renovate ALL the rooms at the mountain wing.  I think they should hire a landscape architect too. They have beautiful trees & plants but it's too unorganized.,2-Nov-16,,neg,booking
Our room (2 bedroom deluxe suite) was spacious and perfect for our family. The hotel grounds are lovely and our 2 year old had a grand time running around. The hotel also has direct access to the Skyranch and this was a huge bonus for us. Since traffic in Tagaytay could be a bummer  it's great that we had a lot of things to do inside the hotel. The food (breakfast buffet and a la carte choices in the Lobby Lounge) was good  too.,2-Nov-16,,pos,booking
They charge 25 usd for early check-in (!!). If the room is ready  why wouldn't we get in without paying additional extras...,1-Nov-16,,neg,booking
My family is regular here. Whenever we go to Tagaytay  we stay at their hotel. We love the view of the Taal Lake from their premises.  The spa has amazing service. I usually complain & bruise a lot from other spa's services BUT NOT here :). My sister & I like Shiela because of her amazing skills in massage. The food from the lobby is great. My family likes to stay there most of the time while drinking coffee/hot choco & eating cake. Great ambience! I love the piano pieces. My parents love the singers. The buffet ...hmmm... it's decent. We just noticed that everytime we go there  the choices of the food is decreasing. We don't know. I must say that they used to have several choices.  The Taza has amazing pizza. Great ambience! great staff too!  Hmmm...did you try the room service? you should! we love it! leche flan turon & mixed veggies <3 <3 <3 AMAZING STAFF SERVICE! ....and I hope it stays that way! Last checked in: Nov. 1  2016,1-Nov-16,,pos,booking
The bedsheet  pillow case  and the towel its too old... looks like a dirty its so untidy and itchy  Pls. Replace it. And their room has no carpet!,1-Nov-16,81,neg,booking
The view,1-Nov-16,81,pos,booking
bed rates pricy,31-Oct-16,96,neg,booking
We like most the breakfast buffet meal  so delicious!,31-Oct-16,96,pos,booking
The comfort room. There is no bidet. :/ so hard to wash. Faucets are far. You need to call housekeeping to request a dipper and bucket.,31-Oct-16,75,neg,booking
the breathtaking view,31-Oct-16,75,pos,booking
Internet reception  poor,29-Oct-16,92,neg,booking
i love the location of Lake swing Hotel. The view is so awesome. You can see all view of taal lake and volcano. Also the foods in restaurant taste good. High five for these hotel. Will definitely go back here.,29-Oct-16,92,pos,booking
The water in the pool is too cold. I wish Taal Vista will add more pool with warmer water for the oldies...,29-Oct-16,88,neg,booking
Friendly staff,29-Oct-16,88,pos,booking
The amenities  especially the hotel room,29-Oct-16,67,pos,booking
The only downside is the long and winding walk from one building where we stayed to the main building where reception and lobby is. The main restaurant for the buffet breakfast was under renovation. When we stayed there in October 2016,27-Oct-16,,neg,booking
Everything-location  rooms  beds  breakfast  staff. there is free parking and free wifi in the room. We had a welcome plate of fruits and a slice of cake to greet us upon entering the room for the first time. The non alcoholic beverages in the fridge were also complimentary. The bathroom is spacious with complimentary toiletries and bedroom slippers.,27-Oct-16,,pos,booking
Need to work on AC in the hotel and room very hot. You can see that the hotel is aging and renovations are needed and in progress.,26-Oct-16,,neg,booking
Location is great. Staff are accommodating.We'll always come back here!!! We'll be waiting for the reopening of the new veranda overseeing the Taal lake!!!,26-Oct-16,,pos,booking
No bidet in the toilet,24-Oct-16,,neg,booking
Friendly staff especially lobby lounge and security.,24-Oct-16,,pos,booking
Some of the hotel under renovation. Also very big so not so intimate,18-Oct-16,,neg,booking
It was a nice experience the room was clean  the atmosphere was good  and most of all the staff were helful and friendly.,18-Oct-16,,pos,booking
My plan for my girlfriend's birthday somehow(late) didn't went well. They recommend something so I thought it was okay  and I don't have an extra plan due to tight schedule and busy work. Please do not recommend something if it isn't final. I even upgraded my room for a lake view room. Overall it was good but somehow disappointed. Thanks.,18-Oct-16,81,neg,booking
Big corner room with beautiful views,18-Oct-16,81,pos,booking
Just a bit pricey.,16-Oct-16,88,neg,booking
The service were good.,16-Oct-16,88,pos,booking
We had difficulty to have late check out while I have genius benefit at the end we got only 1 hr Also watch out room 382 lake wing because there is big tree obscure the view,13-Oct-16,88,neg,booking
Breakfast was great but lack the ambiance as it was in a big ballroom. Otherwise its all good.,13-Oct-16,88,pos,booking
A bit costly  not so affordable price but its worth it...,12-Oct-16,71,neg,booking
The location especially lake wing rooms with balcony,12-Oct-16,71,pos,booking
The comfort room doesn't have a bidet. Would be great if it has one.,11-Oct-16,70,neg,booking
Love the bedroom and huge barhroom.,11-Oct-16,70,pos,booking
The bed is really soft. I like the amenities in the room. The people that assists me are cheerful and patient with my inquiries. Aircon is very easy to operate. The lake view is really breathtaking. It was very nice to wake up and appreciate the site. Too bad I wasn't able to use the gym nor the pool (due to the work I'm doing that day) but there will be a next time.,10-Oct-16,75,pos,booking
Your bathroom does not have a bedet  it's hard to clean yourself after taking a dump.,8-Oct-16,,neg,booking
Staff had been lovely and location,8-Oct-16,,pos,booking
The room should be a Lake view and expected it is a lake view but it seems its only the name of the accomodation or building,7-Oct-16,,neg,booking
The bathroom was clean and big. The bed was comfy and the room was larger than I expected. We had a mountain view room and the view was pretty.,7-Oct-16,,pos,booking
Checkout was awful i waited my luggage almost an hour to be picked up from my room to lobby,5-Oct-16,,neg,booking
It's near to sky ranch & restaurants. Relaxing with the veranda view of taal lake,5-Oct-16,,pos,booking
No hose in toilet and breakfast was not great.,5-Oct-16,,neg,booking
Location staff is very well,5-Oct-16,,pos,booking
We booked two suites and one Deluxe Queen. The two suites turned out to be on the opposite ends of the hotel and quite inconvenient for us as a group. The suite we got was in the mountain view. It's spacious and clean but old and lacks furnishings of a suite. It looks empty. If you will book this hotel  choose the Lake wing which has nice rooms and better view.,4-Oct-16,81,neg,booking
Room had wonderful view of the lake and bar lounge was lovely,4-Oct-16,81,pos,booking
The water from the shower room comes out on the floor going to the bed??i dont know maybe we use the shower very strong???,4-Oct-16,96,neg,booking
Location is excellent. Has very nice view of Taal lake. The staff are all courteous and accommodating.,4-Oct-16,96,pos,booking
front desk assistance.. too slow,4-Oct-16,71,neg,booking
We love the room..all is in there.hair dryer iron for clothes we can boil hot water for coffee...perfectour memories here will  treasure forever,4-Oct-16,71,pos,booking
A little bit expensive than other hotels in the area.,2-Oct-16,80,neg,booking
excellent breakfast...really enjoyed,2-Oct-16,80,pos,booking
Pleasant views.,29-Sep-16,79,pos,booking
I'm from USA so I don't drive while vacationing in Phillippines.  There should be a way the staff can assist in getting customers a shuttle  taxi  or some type of transportation to get them to where they need to go.  It just didn't feel pleasant staying in such a beautiful and luxurious hotel  to then after checking out having to carry your luggage down the street to grab transportation.,28-Sep-16,,neg,booking
The hotel is luxurious and beautiful. Located next to kids amusement park. There's also a casino directly across the street. The complimentary breakfast was excellent.,28-Sep-16,,pos,booking
I would expect a shower/bath combo for a deluxe room  maybe this is something they can do in the future as there is ample space to have one. A maisonette bed near the lamp shade might look better than a plain chair.,27-Sep-16,,neg,booking
All of my requests were granted with no questions asked. I loved the complimentary birthday cakes for me and my mom. Excellent service  very nice ambience and relaxing stay. It could have been a bit longer. Thank you!,27-Sep-16,,pos,booking
waiting to check in & check out...,26-Sep-16,,neg,booking
Location,26-Sep-16,,pos,booking
The food at Taza was good and service was commendable. Breakfast buffet staff was a whole lot different. Coffee tastes like water  no cream  no stirrer. You have to ask multiple times before they are able to serve you. But the food is good.,25-Sep-16,,neg,booking
Location is great,25-Sep-16,,pos,booking
The Mountain Ridge rooms are old and outdated. It hasn't been maintained well. Sheets  towels and beddings aren't that great. Overall  it feels as if it isn't part of the hotel compared to the lake wing. Coffee at the breakfast buffet tastes like water.,25-Sep-16,81,neg,booking
Peaceful and clean ; Nice view,25-Sep-16,81,pos,booking
Once the sliding door of the bathroom is locked from the inside  the person inside cannot open the door. The size of the bathtub anti-slip mat was too wide,24-Sep-16,96,neg,booking
The ambiance is relaxing,24-Sep-16,96,pos,booking
Bathtub and sink is clogged. Towels are old so I can't dry up. Key card malfunctioned twice and I have to walk far to the info desk. Adjacent room can be heared. Must have a double door to the extension,23-Sep-16,92,neg,booking
cleanliness of the entire hotel  staff were so friendly  buffet breakfast was excellent  had a very peaceful and comfortable stay at the room  comfort room was clean and organized,23-Sep-16,92,pos,booking
We were informed via email that we were upgraded from premier to suite but when we got there they still booked us in a premier room without explanation that we were not granted with the upgrade. In our room we ask the front desk and that is the time they asked someone what happened. They retracted that perks because that said maintenance did not push thru . The retraction email was only sent after our complaint . Retraction should be timely to prevent frustration and embarrassment from guest,22-Sep-16,71,neg,booking
the tomahawk porkchop is really good.. ,22-Sep-16,71,pos,booking
nothing....keep up the good work guys...i will refer your hotel to my friends and relatives,17-Sep-16,67,neg,booking
The romantic dinner package should have pushed through if there were more choices on the menu.,15-Sep-16,,neg,booking
Loved the coziness and the atmosphere is so relaxing   quiet  peaceful and romantic for us.,15-Sep-16,,pos,booking
All excellent.,15-Sep-16,,neg,booking
Very friendly staff.  Decent breakfast buffet. Lake view rooms have good view of volcano.,15-Sep-16,,pos,booking
The rooms need to be refurbished.,11-Sep-16,,neg,booking
Fantastic view of lake  spacious rooms  beautiful lawns  nice parking and very courteous staff,11-Sep-16,,pos,booking
this hotel is overrated. for a price of 8500 it's not worth it. it's old. the hallway looks creepy and smells like a hospital  you have to walk very far to reach your room. if price range was around 4000 then  it would be a great deal for money.,6-Sep-16,,neg,booking
We like the view  one of the best views of Taal Volcano. The coffee shop is very cozy  and has a good view of the lake.,6-Sep-16,,pos,booking
i booked for a lake view but didnt get it and higher floor but didnt get it.,6-Sep-16,81,neg,booking
the staff were really kind and helpful. at first i booked a de luxe room 7500  and very disappointed.very small beds and our view was just a wall. so i requested to upgrade our room to a higher floor with the view of the lake  they were kind enough to do so ofcourse i paid extra but it was a good decision. the lake view room with king size bed was way lot better.,6-Sep-16,81,pos,booking
The traffic going there.  Can SM do something?,5-Sep-16,92,neg,booking
All requests are granted and everything we need were provided,5-Sep-16,92,pos,booking
I wish there was bidet in the toilet.,2-Sep-16,79,neg,booking
Less choices for buffet breakfast,2-Sep-16,79,pos,booking
The buffet breakfast was delicious and the room clean.,31-Aug-16,96,pos,booking
Breakfast is the best!!!!,30-Aug-16,71,pos,booking
No BIDET for toilet,24-Aug-16,,neg,booking
Ambiance is good courteous staff. Food is delicious,24-Aug-16,,pos,booking
The pool is quite far away if your room is in the lake wing  and the signs to get there are not very clear - in fact  there aren't many around! I happened to cross paths with the manager of Taal Vista Hotel who was very accommodating and helpful as he also pointed out the kids club room - but that too needs improvement as there weren't many things to play with at the time my kids were there.,20-Aug-16,,neg,booking
The view to the lake was amazing! Great Breakfast Buffet! Kids friendly.  Sky Ranch with nice rides for kids of all ages & a zip line etc is walking distance from the hotel (right next to Taal Vista)!,20-Aug-16,,pos,booking
The design of the bathroom and shower. The air-conditioning of the room goes to the shower area which makes it uncomfortable. also the Toilet when used the scent permeates to the room.,18-Aug-16,,neg,booking
The breakfast buffet ha a good selection of foods. The staff were hospitable and neat looking.,18-Aug-16,,pos,booking
There was a little problem about your comfort room (water closet/reservoir) in our room we accomodated.,17-Aug-16,,neg,booking
My room is ok but my mistake was  i have to get the lake wing next time.,17-Aug-16,,pos,booking
Limited choice of breakfast specially for Muslims people Bathroom is not good,13-Aug-16,81,neg,booking
The Leake wives very nice,13-Aug-16,81,pos,booking
No door at the bathroom. No bidet.,9-Aug-16,88,neg,booking
I love the view and the accomodating staff.,9-Aug-16,88,pos,booking
Too expensive,9-Aug-16,83,neg,booking
Bit expensive,2-Aug-16,75,neg,booking
I hate the bugs and moths on the veranda at night,1-Aug-16,92,neg,booking
No senior citizen discount?,28-Jul-16,75,neg,booking
none,28-Jul-16,,neg,booking
the buffet breakfast was superb. there were lots of choices and they kept refilling the empty containers,28-Jul-16,,pos,booking
It was a full comfy experience excess for the food service at the lobby & as well in the taza restaurant. The service was too slow & we need to keep on calling the waiter for follow up. The was also a time wherein they forgot to serve 1 order which got my mom frustratedz,27-Jul-16,,neg,booking
Staff are very friendly and helpful. You will be greeted with smiles everytime. View from the premier room is amazing,27-Jul-16,,pos,booking
Did not get the room we wanted due to very very over booked. But that's understandable. 2 requested call backs were not made.,27-Jul-16,,neg,booking
The view,27-Jul-16,,pos,booking
Breakfast buffet is expensive for a so-so taste,24-Jul-16,,neg,booking
The Food and ambiance,24-Jul-16,,pos,booking
Nothing,23-Jul-16,81,neg,booking
We enjoyed the view from our room..The traffic was heavy outside so we just had our food served in the room and had  dinner in the balcony..     Food was good.. we have a view of the lake   quiet  it was such a relaxing stay..,23-Jul-16,81,pos,booking
Early closing of Pool area and minor defect of sanitary wares,19-Jul-16,75,neg,booking
beautiful view from the deck in the evening  Kultur the lobby level shop has a good collection.,19-Jul-16,75,pos,booking
old toilets (not even a shower mixer)  not so comfortable beds long walk from the room to the restaurant  one restaurant under renovation  so just one in operation + a lobby level coffee shop  you have to wait long to find your waitress in the restaurant  the ordered beer was served at room temp  they asked me if I would like to add ice:) again but for few fast food chain restaurants  the mall and the other fine dining restaurants are not in walking distance.,19-Jul-16,79,neg,booking
The hotel is well maintained The staff are polite and courteous overall it was an hassle free stay,19-Jul-16,79,pos,booking
The in-room food menu,18-Jul-16,75,neg,booking
We booked two rooms with the lake view (new building) and the scenery was magnificent. Kudos as well to their staff for great customer service.. Although my issue with the room was not entirely fixed  they continuously communicated and kept me updated on what they were doing. I felt like they were very well trained in customer service.,18-Jul-16,75,pos,booking
One of the rooms that we booked had a semi-faulty aircon.. They can't fix it  to the point that I asked for an electric fan to be placed in the room.  It helped.. but felt weird that such 9K per night room has a faulty aircon.,16-Jul-16,75,neg,booking
There is no hot water in the bathroom. Maybe we should have requested to switch another room but since we only stayed there for one night  we just didn't hustle for the change.,14-Jul-16,,neg,booking
Breakfast is wonderful. The resort has a great viewing deck where you see a breathtaking panoramic view of the Taal lake and volcano.,14-Jul-16,,pos,booking
Beware the price fluctuation. Price dropped shortly after I made reservations.,11-Jul-16,,neg,booking
Location is lovely and there view is awesome. Food there is great too! The manager at the time (Jermaine) addressed my woes (see What didn't you like? section) effectively and we were able to compromise  and it made me a happy customer!,11-Jul-16,,pos,booking
The service in the restaurant was very poor  no attention given   too much dirty tables to clean and no food available in the buffet for breakfast. During dinner the service was very slow too..no follow up coming from the management of the hotel,7-Jul-16,,neg,booking
The staff was competent and efficient.  They accommodated requests and were very polite and friendly.  The breakfast was wonderful considering the variety of dishes served.,7-Jul-16,,pos,booking
No bathtub,6-Jul-16,,neg,booking
The view is excellent,6-Jul-16,,pos,booking
Our room allocated was in the basement with no view whatsoever. It felt like a prison. After complaining we got a view of a concrete courtyard which kept the prison scheme but at least we could see the sky. We had to wait 15 mins to be seated for breakfast both weekend days. This place is uber busy and if you don't like noisy kids  think twice. Room was ok but nearly needed to take a taxi ride from main reception ;),4-Jul-16,81,neg,booking
Nice staff  big room,4-Jul-16,81,pos,booking
Some of the furniture (sofa  bath tub) were a bit dated. Not much vegetarian food options in the breakfast buffet.,3-Jul-16,79,neg,booking
Spending my birthday at Taal Vista  was a great decision! The staff were very accommodating  and even gave me a complimentary birthday cake! :),3-Jul-16,79,pos,booking
Make the room fixtures at par with the 7k price tag.,3-Jul-16,96,neg,booking
View was stunning. Near casino and Sky Ranch amusement park. Staff were very friendly and welcoming.,3-Jul-16,96,pos,booking
The view of the Taal lake from thw room was magnificent. The staff were courteous and accommodating.,30-Jun-16,79,pos,booking
Food was great!,30-Jun-16,92,pos,booking
No bidet in the bathroom,28-Jun-16,,neg,booking
Excellent buffet selection!,28-Jun-16,,pos,booking
Not too much to do inside the hotel  i hope they have added facilities like kids play area  sports center and other leisure activities.,28-Jun-16,,neg,booking
breakfast,28-Jun-16,,pos,booking
This is a massive property. We were next to the banquet / convention facilities and had to walk through the lobby for that section of the hotel to gain access to our room. I felt a bit uncomfortable walking through a formal wedding reception in my t-shirt and shorts. Our room was very  very far from main lobby and restaurant area. The resort was undergoing big remodelling projects during our stay.,27-Jun-16,,neg,booking
The rooms were so cozy and spacious.,27-Jun-16,,pos,booking
The towels are old and threadbare.,26-Jun-16,,neg,booking
I booked the room for my sister celebrating their wedding anniversary. The staff sent them a cake with a greeting which was a very nice gesture.,26-Jun-16,,pos,booking
Rooms are a bit outdated,25-Jun-16,81,neg,booking
Incredible view!,25-Jun-16,81,pos,booking
The veranda cafe was under construction...we had to walk far to get to our rooms!!  Premier lake view rooms!  Still a nice stay,21-Jun-16,75,neg,booking
the view of taal and the delicious breakfast featuring native dishes from batangas,21-Jun-16,75,pos,booking
I cant extend my stay.  I little bit expensive though it's worth the stay.,16-Jun-16,83,neg,booking
The gym was great and but the darts for the dart board were missing,16-Jun-16,83,pos,booking
There were less vegetarian options in the meals.,14-Jun-16,92,neg,booking
Internet connection is very fast,14-Jun-16,92,pos,booking
Property is very well maintained Ambience of Taal view is excellent,14-Jun-16,79,pos,booking
Toilet has no bidet.,12-Jun-16,,neg,booking
The breakfast buffet is excellent,12-Jun-16,,pos,booking
Should give more info and assistance to guests about the facilities and place to be able to explore more,11-Jun-16,,neg,booking
